PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Surname,Group,pp,deck,num,side,Transported,expenses,expenses_w_o_na
0001_01,Europa,False,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Ofracculy,1,1,B,0,P,False,0.0,0.0
0002_01,Earth,False,TRAPPIST-1e,24.0,False,109.0,9.0,25.0,549.0,44.0,Vines,2,1,F,0,S,True,736.0,736.0
0003_01,Europa,False,TRAPPIST-1e,58.0,True,43.0,3576.0,0.0,6715.0,49.0,Susent,3,1,A,0,S,False,10383.0,10383.0
0003_02,Europa,False,TRAPPIST-1e,33.0,False,0.0,1283.0,371.0,3329.0,193.0,Susent,3,2,A,0,S,False,5176.0,5176.0
0004_01,Earth,False,TRAPPIST-1e,16.0,False,303.0,70.0,151.0,565.0,2.0,Santantines,4,1,F,1,S,True,1091.0,1091.0
0005_01,Earth,False,PSO J318.5-22,44.0,False,0.0,483.0,0.0,291.0,0.0,Hinetthews,5,1,F,0,P,True,774.0,774.0
0006_01,Earth,False,TRAPPIST-1e,26.0,False,42.0,1539.0,3.0,0.0,0.0,Jacostaffey,6,1,F,2,S,True,1584.0,1584.0
0006_02,Earth,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Jacostaffey,6,2,G,0,S,True,0.0,0.0
0007_01,Earth,False,TRAPPIST-1e,35.0,False,0.0,785.0,17.0,216.0,0.0,Beston,7,1,F,3,S,True,1018.0,1018.0
0008_01,Europa,True,55 Cancri e,14.0,False,0.0,0.0,0.0,0.0,0.0,Flatic,8,1,B,1,P,True,0.0,0.0
0008_02,Europa,True,TRAPPIST-1e,34.0,False,0.0,0.0,0.0,0.0,0.0,Flatic,8,2,B,1,P,True,0.0,0.0
0008_03,Europa,False,55 Cancri e,45.0,False,39.0,7295.0,589.0,110.0,124.0,Flatic,8,3,B,1,P,True,8157.0,8157.0
0009_01,Mars,False,TRAPPIST-1e,32.0,False,73.0,0.0,1123.0,0.0,113.0,Barne,9,1,F,1,P,True,1309.0,1309.0
0010_01,Earth,False,TRAPPIST-1e,48.0,False,719.0,1.0,65.0,0.0,24.0,Baketton,10,1,G,1,S,False,809.0,809.0
0011_01,Earth,False,TRAPPIST-1e,28.0,False,8.0,974.0,12.0,2.0,7.0,Bertsontry,11,1,F,2,P,True,1003.0,1003.0
0012_01,Earth,False,TRAPPIST-1e,31.0,False,32.0,0.0,876.0,0.0,0.0,Pooles,12,1,,,,False,908.0,908.0
0014_01,Mars,False,55 Cancri e,27.0,False,1286.0,122.0,,0.0,0.0,Eccle,14,1,F,3,P,False,,1408.0
0015_01,Earth,False,55 Cancri e,24.0,False,0.0,1.0,0.0,0.0,637.0,Hughriend,15,1,F,4,P,False,638.0,638.0
0016_01,Mars,True,TRAPPIST-1e,45.0,False,0.0,0.0,0.0,0.0,0.0,Upead,16,1,F,5,P,True,0.0,0.0
0017_01,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Brighttt,17,1,G,0,P,True,0.0,0.0
0017_02,Earth,False,55 Cancri e,14.0,False,412.0,0.0,1.0,0.0,679.0,Brighttt,17,2,F,6,P,False,1092.0,1092.0
0020_01,Earth,True,TRAPPIST-1e,1.0,False,0.0,0.0,0.0,0.0,0.0,Brantuarez,20,1,E,0,S,False,0.0,0.0
0020_02,Earth,True,55 Cancri e,49.0,False,0.0,0.0,0.0,0.0,0.0,Brantuarez,20,2,E,0,S,False,0.0,0.0
0020_03,Earth,True,55 Cancri e,29.0,False,0.0,0.0,0.0,0.0,0.0,Mcfaddennon,20,3,E,0,S,False,0.0,0.0
0020_04,Earth,False,TRAPPIST-1e,10.0,False,0.0,0.0,0.0,0.0,0.0,Jacostanley,20,4,E,0,S,True,0.0,0.0
0020_05,Earth,True,PSO J318.5-22,1.0,False,0.0,0.0,0.0,0.0,0.0,Brantuarez,20,5,E,0,S,False,0.0,0.0
0020_06,Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Mcfaddennon,20,6,E,0,S,False,0.0,0.0
0022_01,Mars,False,TRAPPIST-1e,21.0,False,980.0,2.0,69.0,0.0,0.0,,22,1,D,0,P,False,1051.0,1051.0
0024_01,Europa,True,TRAPPIST-1e,62.0,False,0.0,0.0,0.0,0.0,0.0,Fullided,24,1,C,2,S,True,0.0,0.0
0025_01,Earth,False,TRAPPIST-1e,15.0,False,0.0,225.0,0.0,998.0,0.0,Brookenson,25,1,F,6,S,False,1223.0,1223.0
0026_01,Europa,False,55 Cancri e,34.0,False,22.0,6073.0,0.0,1438.0,328.0,Unconary,26,1,C,0,P,False,7861.0,7861.0
0028_01,Mars,False,TRAPPIST-1e,43.0,False,1125.0,0.0,136.0,48.0,0.0,Mare,28,1,F,8,P,False,1309.0,1309.0
0030_01,Earth,False,TRAPPIST-1e,32.0,False,0.0,850.0,81.0,437.0,453.0,Morsentley,30,1,G,4,S,False,1821.0,1821.0
0031_01,Mars,False,TRAPPIST-1e,47.0,False,214.0,0.0,1411.0,0.0,1229.0,Datie,31,1,F,9,P,True,2854.0,2854.0
0031_02,Mars,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Datie,31,2,F,9,P,True,0.0,0.0
0031_03,Mars,False,TRAPPIST-1e,20.0,False,,0.0,1750.0,990.0,0.0,Datie,31,3,F,9,P,True,,2740.0
0034_01,Europa,True,55 Cancri e,28.0,False,0.0,0.0,0.0,0.0,0.0,Oingwhedly,34,1,D,1,S,True,0.0,0.0
0035_01,Mars,False,55 Cancri e,23.0,False,784.0,964.0,0.0,951.0,0.0,Butte,35,1,D,1,P,False,2699.0,2699.0
0036_01,Earth,False,55 Cancri e,15.0,False,0.0,492.0,48.0,20.0,401.0,Leodger,36,1,F,8,S,False,961.0,961.0
0038_01,Earth,False,55 Cancri e,20.0,False,554.0,195.0,0.0,2606.0,0.0,Wheelez,38,1,F,10,S,False,3355.0,3355.0
0039_01,Earth,True,55 Cancri e,30.0,False,0.0,0.0,0.0,0.0,0.0,Batthewitt,39,1,G,1,P,False,0.0,0.0
0041_01,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Moodsey,41,1,G,2,P,True,0.0,0.0
0043_01,Europa,False,TRAPPIST-1e,45.0,False,0.0,164.0,45.0,2511.0,855.0,Cylistrand,43,1,B,3,P,False,3575.0,3575.0
0044_01,Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Coopelandez,44,1,G,3,P,False,0.0,0.0
0044_02,Earth,True,55 Cancri e,4.0,False,0.0,0.0,0.0,0.0,0.0,Coopelandez,44,2,G,3,P,True,0.0,0.0
0044_03,Earth,True,PSO J318.5-22,21.0,False,0.0,0.0,0.0,0.0,0.0,Coopelandez,44,3,G,3,P,True,0.0,0.0
0045_01,Mars,False,TRAPPIST-1e,21.0,False,970.0,0.0,180.0,0.0,64.0,Chmad,45,1,F,10,P,False,1214.0,1214.0
0045_02,Mars,True,,19.0,False,0.0,0.0,0.0,0.0,0.0,Chmad,45,2,F,10,P,True,0.0,0.0
0050_01,Earth,False,55 Cancri e,35.0,False,790.0,0.0,0.0,,0.0,Lancis,50,1,E,1,S,False,,790.0
0051_01,Earth,False,TRAPPIST-1e,56.0,False,0.0,112.0,0.0,1379.0,127.0,Johnshines,51,1,E,2,S,False,1618.0,1618.0
0052_01,Earth,False,TRAPPIST-1e,,False,4.0,0.0,2.0,4683.0,0.0,Hubbarton,52,1,G,6,S,False,4689.0,4689.0
0053_01,Earth,False,TRAPPIST-1e,25.0,False,0.0,0.0,1938.0,0.0,1.0,Hickerson,53,1,F,11,S,True,1939.0,1939.0
0056_01,Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Tractive,56,1,A,1,S,True,0.0,0.0
0056_02,Europa,True,TRAPPIST-1e,38.0,False,0.0,0.0,0.0,0.0,0.0,Tractive,56,2,A,1,S,True,0.0,0.0
0056_03,Europa,False,TRAPPIST-1e,27.0,False,279.0,605.0,3374.0,286.0,3.0,Tractive,56,3,A,1,S,True,4547.0,4547.0
0058_01,Earth,True,PSO J318.5-22,36.0,False,0.0,0.0,0.0,0.0,0.0,Ayalazquez,58,1,G,7,S,False,0.0,0.0
0061_01,Earth,False,TRAPPIST-1e,22.0,False,45.0,1096.0,148.0,1377.0,1.0,Salez,61,1,F,12,S,False,2667.0,2667.0
0062_01,Earth,False,TRAPPIST-1e,62.0,False,0.0,592.0,0.0,17.0,25.0,Greeves,62,1,F,13,S,False,634.0,634.0
0064_01,Mars,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,,64,1,F,14,S,True,0.0,0.0
0064_02,Earth,True,TRAPPIST-1e,33.0,False,0.0,0.0,0.0,0.0,0.0,Keen,64,2,E,3,S,True,0.0,0.0
0066_01,Earth,False,TRAPPIST-1e,62.0,False,1.0,153.0,197.0,0.0,460.0,Pecketton,66,1,G,6,P,False,811.0,811.0
0067_01,Earth,True,PSO J318.5-22,0.0,False,0.0,0.0,0.0,0.0,0.0,Leeves,67,1,G,10,S,True,0.0,0.0
0067_02,Earth,False,TRAPPIST-1e,18.0,False,1.0,258.0,446.0,0.0,0.0,Leeves,67,2,G,10,S,True,705.0,705.0
0067_03,Earth,False,55 Cancri e,21.0,False,1946.0,37.0,0.0,0.0,24.0,Leeves,67,3,F,15,S,False,2007.0,2007.0
0068_01,Mars,False,TRAPPIST-1e,,False,793.0,0.0,2.0,253.0,0.0,Binie,68,1,E,4,S,False,1048.0,1048.0
0069_01,Earth,False,TRAPPIST-1e,42.0,False,887.0,0.0,9.0,6.0,0.0,,69,1,F,16,S,True,902.0,902.0
0070_01,Earth,False,TRAPPIST-1e,19.0,False,190.0,0.0,5.0,1.0,726.0,Brighttt,70,1,F,13,P,False,922.0,922.0
0071_01,Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,Dillines,71,1,F,14,P,False,2233.0,2233.0
0072_01,Earth,False,TRAPPIST-1e,14.0,False,0.0,1.0,0.0,0.0,1063.0,Brantuarez,72,1,F,17,S,False,1064.0,1064.0
0073_01,Mars,False,PSO J318.5-22,37.0,False,46.0,83.0,738.0,0.0,12.0,Make,73,1,D,3,P,False,879.0,879.0
0074_01,Europa,False,TRAPPIST-1e,42.0,False,1.0,8397.0,0.0,0.0,506.0,Mostedry,74,1,C,3,S,True,8904.0,8904.0
0076_01,Mars,False,TRAPPIST-1e,27.0,False,147.0,0.0,1018.0,0.0,0.0,Dal,76,1,F,18,S,True,1165.0,1165.0
0077_01,Mars,False,TRAPPIST-1e,28.0,False,14.0,0.0,1295.0,0.0,0.0,Blité,77,1,F,15,P,True,1309.0,1309.0
0078_01,Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Pokerheed,78,1,C,4,S,False,15815.0,15815.0
0081_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Vinozarks,81,1,G,13,S,False,0.0,0.0
0082_01,Mars,False,TRAPPIST-1e,42.0,False,7406.0,0.0,0.0,0.0,0.0,Datte,82,1,F,16,P,False,7406.0,7406.0
0082_02,Mars,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Datte,82,2,F,16,P,True,0.0,0.0
0082_03,Mars,False,TRAPPIST-1e,8.0,False,0.0,0.0,0.0,0.0,0.0,,82,3,F,16,P,True,0.0,0.0
0084_01,Earth,False,TRAPPIST-1e,24.0,False,688.0,0.0,0.0,0.0,17.0,Coopezmaney,84,1,G,14,S,True,705.0,705.0
0085_01,Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Ellcefulve,85,1,C,5,S,True,0.0,0.0
0086_01,Earth,False,TRAPPIST-1e,43.0,False,211.0,0.0,0.0,638.0,513.0,Kinson,86,1,F,17,P,False,1362.0,1362.0
0088_01,Mars,True,PSO J318.5-22,45.0,False,0.0,0.0,0.0,0.0,0.0,Sacre,88,1,E,5,S,True,0.0,0.0
0090_01,Earth,True,TRAPPIST-1e,35.0,False,0.0,0.0,0.0,0.0,0.0,Santry,90,1,G,15,S,True,0.0,0.0
0091_01,Earth,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Yorkland,91,1,G,16,S,True,0.0,0.0
0091_02,Earth,False,TRAPPIST-1e,27.0,False,1.0,697.0,31.0,188.0,0.0,Yorkland,91,2,F,20,S,False,917.0,917.0
0092_01,Earth,False,TRAPPIST-1e,19.0,False,0.0,0.0,670.0,1.0,34.0,Dunnisey,92,1,G,9,P,False,705.0,705.0
0092_02,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Hewson,92,2,G,9,P,True,0.0,0.0
0092_03,Earth,True,TRAPPIST-1e,3.0,False,0.0,0.0,0.0,0.0,0.0,Hewson,92,3,G,9,P,True,0.0,0.0
0097_01,Europa,False,TRAPPIST-1e,54.0,False,0.0,1208.0,0.0,3.0,637.0,Fictful,97,1,A,2,S,False,1848.0,1848.0
0098_01,Earth,False,TRAPPIST-1e,26.0,False,0.0,856.0,5.0,32.0,0.0,Carezquez,98,1,G,11,P,False,893.0,893.0
0098_02,Earth,False,TRAPPIST-1e,26.0,False,0.0,2811.0,957.0,0.0,87.0,Carezquez,98,2,G,11,P,True,3855.0,3855.0
0099_01,Earth,False,PSO J318.5-22,23.0,False,311.0,427.0,526.0,37.0,0.0,Leetersoney,99,1,F,19,P,False,1301.0,1301.0
0099_02,Earth,True,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Connelson,99,2,G,12,P,True,0.0,0.0
0101_01,Mars,True,TRAPPIST-1e,31.0,False,0.0,0.0,0.0,0.0,0.0,Trad,101,1,,,,True,0.0,0.0
0102_01,Earth,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,830.0,91.0,Holson,102,1,F,23,S,False,921.0,921.0
0103_01,Earth,False,TRAPPIST-1e,24.0,False,0.0,,0.0,0.0,17.0,Mclainez,103,1,F,24,S,True,,17.0
0103_02,Earth,True,55 Cancri e,9.0,False,0.0,0.0,0.0,0.0,0.0,Mclainez,103,2,G,18,S,True,0.0,0.0
0103_03,Earth,True,TRAPPIST-1e,6.0,False,0.0,0.0,0.0,0.0,0.0,Mclainez,103,3,G,18,S,False,0.0,0.0
0105_01,Earth,False,TRAPPIST-1e,27.0,False,0.0,0.0,570.0,2.0,131.0,Cleachrand,105,1,F,21,P,False,703.0,703.0
0107_01,Mars,False,TRAPPIST-1e,21.0,False,1743.0,5.0,17.0,0.0,0.0,Hart,107,1,D,2,S,False,1765.0,1765.0
0108_01,Earth,True,TRAPPIST-1e,23.0,False,0.0,0.0,0.0,0.0,0.0,Handertiz,108,1,G,19,S,False,0.0,0.0
0108_02,Earth,False,TRAPPIST-1e,31.0,False,562.0,0.0,326.0,0.0,0.0,,108,2,G,19,S,False,888.0,888.0
0108_03,Earth,False,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Handertiz,108,3,G,19,S,True,0.0,0.0
0110_01,Europa,False,TRAPPIST-1e,32.0,False,0.0,410.0,6.0,3929.0,764.0,Aloubtled,110,1,,,,False,5109.0,5109.0
0110_02,Europa,False,TRAPPIST-1e,40.0,False,0.0,331.0,0.0,0.0,1687.0,Bootious,110,2,B,5,P,False,2018.0,2018.0
0110_03,Europa,False,TRAPPIST-1e,42.0,False,2209.0,11418.0,0.0,1868.0,445.0,Aloubtled,110,3,B,5,P,True,15940.0,15940.0
0110_04,Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Aloubtled,110,4,B,5,P,True,0.0,0.0
0111_01,Europa,True,TRAPPIST-1e,29.0,False,0.0,0.0,0.0,0.0,0.0,Supred,111,1,E,6,S,True,0.0,0.0
0112_01,Europa,False,55 Cancri e,48.0,True,0.0,2537.0,87.0,17.0,13.0,Cowtale,112,1,B,1,S,True,2654.0,2654.0
0113_01,Earth,False,TRAPPIST-1e,64.0,False,0.0,0.0,804.0,0.0,0.0,Carvis,113,1,F,23,P,True,804.0,804.0
0114_01,Earth,False,TRAPPIST-1e,27.0,False,82.0,157.0,429.0,238.0,1.0,Beckerson,114,1,G,20,S,False,907.0,907.0
0115_01,Mars,True,TRAPPIST-1e,26.0,False,0.0,0.0,0.0,0.0,0.0,Pead,115,1,F,24,P,True,0.0,0.0
0116_01,Europa,False,TRAPPIST-1e,33.0,False,1.0,2223.0,0.0,12.0,404.0,Suptive,116,1,D,4,P,True,2640.0,2640.0
