PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Surname,Group,pp,deck,num,side,expenses,expenses_w_o_na,Transported
8189_01,Europa,False,TRAPPIST-1e,35.0,False,0.0,747.0,0.0,0.0,2478.0,Fanchy,8189,1,C,271,P,3225.0,3225.0,False
7202_01,Earth,False,TRAPPIST-1e,37.0,False,541.0,38.0,713.0,316.0,0.0,Burksson,7202,1,E,462,P,1608.0,1608.0,False
3817_01,Mars,False,TRAPPIST-1e,20.0,False,984.0,1.0,921.0,0.0,,Reste,3817,1,E,226,P,,1906.0,False
1655_01,Earth,False,TRAPPIST-1e,28.0,False,3202.0,,0.0,0.0,5.0,Dicksons,1655,1,,,,,3207.0,False
4677_01,Europa,False,55 Cancri e,30.0,False,0.0,4066.0,0.0,544.0,1272.0,Obeaded,4677,1,C,150,P,5882.0,5882.0,False
5254_04,Europa,False,55 Cancri e,8.0,False,0.0,0.0,0.0,0.0,0.0,Pressive,5254,4,B,202,S,0.0,0.0,True
0337_02,Mars,False,TRAPPIST-1e,19.0,False,417.0,349.0,634.0,3.0,1057.0,Perle,337,2,F,63,S,2460.0,2460.0,True
1581_02,Mars,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Che,1581,2,,,,0.0,0.0,True
5813_01,Earth,True,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,0.0,Hortis,5813,1,G,936,P,0.0,0.0,True
4000_01,Earth,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,Burraymons,4000,1,G,658,S,0.0,0.0,True
6921_01,Europa,False,TRAPPIST-1e,22.0,False,0.0,1914.0,2090.0,100.0,0.0,Stersetery,6921,1,C,255,S,4104.0,4104.0,True
5303_02,Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Hoffergess,5303,2,G,857,P,0.0,0.0,True
2040_01,Europa,True,TRAPPIST-1e,50.0,False,0.0,0.0,0.0,0.0,0.0,Stiven,2040,1,B,85,S,0.0,0.0,True
1188_01,Europa,False,TRAPPIST-1e,58.0,False,204.0,4227.0,0.0,3026.0,61.0,Sorticbar,1188,1,C,46,P,7518.0,7518.0,False
5912_01,Earth,True,TRAPPIST-1e,15.0,False,0.0,0.0,0.0,0.0,0.0,Joycerton,5912,1,G,963,S,0.0,0.0,True
8115_02,Europa,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Prieress,8115,2,B,318,S,0.0,0.0,True
7757_01,Europa,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Lowerrudy,7757,1,B,300,S,0.0,0.0,True
4338_01,Europa,False,TRAPPIST-1e,51.0,False,0.0,0.0,0.0,0.0,0.0,Gealloyalt,4338,1,C,156,S,0.0,0.0,True
8708_01,Earth,False,PSO J318.5-22,28.0,False,679.0,0.0,0.0,0.0,0.0,Jacostaffey,8708,1,G,1413,P,679.0,679.0,False
0380_01,Europa,True,55 Cancri e,26.0,False,0.0,0.0,0.0,0.0,0.0,Fuelddid,380,1,,,,0.0,0.0,True
7224_01,Earth,True,TRAPPIST-1e,30.0,,0.0,0.0,0.0,0.0,0.0,Carvis,7224,1,G,1175,S,0.0,0.0,True
7188_02,Europa,False,TRAPPIST-1e,28.0,False,0.0,2896.0,46.0,5248.0,8169.0,Imingle,7188,2,C,233,P,16359.0,16359.0,False
8418_02,Europa,False,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,206.0,2684.0,Baleful,8418,2,B,330,S,2890.0,2890.0,False
0482_01,Earth,False,TRAPPIST-1e,27.0,False,0.0,118.0,0.0,5.0,665.0,Mallerez,482,1,E,28,S,788.0,788.0,False
1182_01,Mars,True,55 Cancri e,64.0,False,0.0,0.0,0.0,0.0,0.0,Pota,1182,1,F,237,P,0.0,0.0,True
5598_01,Earth,False,,19.0,False,0.0,0.0,500.0,2.0,208.0,Thony,5598,1,G,903,S,710.0,710.0,True
2024_02,Earth,False,55 Cancri e,17.0,False,44.0,1535.0,10.0,51.0,0.0,Kinson,2024,2,E,150,S,1640.0,1640.0,True
2920_01,Earth,False,TRAPPIST-1e,23.0,False,0.0,179.0,569.0,0.0,0.0,Schwardson,2920,1,F,606,P,748.0,748.0,True
1818_01,Earth,True,TRAPPIST-1e,17.0,False,0.0,0.0,0.0,0.0,0.0,Portananney,1818,1,G,297,P,0.0,0.0,True
0938_01,Earth,False,TRAPPIST-1e,24.0,False,174.0,0.0,0.0,630.0,0.0,Solinez,938,1,F,172,S,804.0,804.0,False
9169_01,Mars,False,TRAPPIST-1e,38.0,False,48.0,2318.0,5.0,11.0,0.0,Iccle,9169,1,D,295,P,2382.0,2382.0,True
0642_02,Europa,False,55 Cancri e,36.0,False,0.0,4967.0,82.0,1517.0,575.0,Kiling,642,2,C,25,S,7141.0,7141.0,True
3293_01,Mars,False,TRAPPIST-1e,20.0,False,915.0,12.0,25.0,205.0,311.0,Part,3293,1,F,623,S,1468.0,1468.0,True
3093_01,Mars,False,55 Cancri e,22.0,False,2229.0,0.0,1349.0,121.0,0.0,Terte,3093,1,E,194,P,3699.0,3699.0,True
4000_03,Earth,True,TRAPPIST-1e,0.0,False,0.0,0.0,0.0,0.0,0.0,Burraymons,4000,3,G,658,S,0.0,0.0,True
5148_01,Earth,False,TRAPPIST-1e,13.0,False,0.0,63.0,54.0,20.0,916.0,Canields,5148,1,F,1051,P,1053.0,1053.0,False
1915_01,Earth,False,TRAPPIST-1e,,False,0.0,51.0,0.0,37.0,704.0,Hurchez,1915,1,E,116,P,792.0,792.0,False
8956_03,Earth,False,PSO J318.5-22,24.0,False,0.0,0.0,40.0,0.0,575.0,Bonnondry,8956,3,G,1453,P,615.0,615.0,False
4831_01,Mars,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,Pelie,4831,1,F,984,P,0.0,0.0,True
6766_02,Earth,True,TRAPPIST-1e,0.0,,0.0,0.0,0.0,0.0,0.0,Warrishales,6766,2,G,1098,P,0.0,0.0,True
4350_01,Earth,True,TRAPPIST-1e,21.0,False,0.0,0.0,0.0,0.0,0.0,Robersondez,4350,1,G,709,S,0.0,0.0,True
6220_01,Earth,False,PSO J318.5-22,42.0,False,0.0,168.0,0.0,113.0,461.0,Jacostaffey,6220,1,F,1284,P,742.0,742.0,False
4631_01,Europa,True,55 Cancri e,25.0,False,0.0,0.0,,0.0,0.0,Calazy,4631,1,C,147,P,,0.0,True
8850_01,Mars,False,TRAPPIST-1e,16.0,False,1032.0,0.0,267.0,0.0,0.0,Kie,8850,1,E,580,S,1299.0,1299.0,False
7460_01,Earth,False,55 Cancri e,24.0,False,786.0,0.0,0.0,309.0,0.0,Haydenez,7460,1,F,1543,P,1095.0,1095.0,True
4646_01,Earth,False,PSO J318.5-22,22.0,False,141.0,16.0,0.0,177.0,336.0,Mcgoway,4646,1,F,873,S,670.0,670.0,True
0548_01,Earth,False,TRAPPIST-1e,24.0,False,0.0,86.0,704.0,0.0,1.0,Webstes,548,1,E,36,S,791.0,791.0,True
6200_01,Europa,False,TRAPPIST-1e,27.0,False,3.0,4654.0,0.0,657.0,214.0,Duckil,6200,1,B,238,S,5528.0,5528.0,True
4212_01,,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,,0.0,Yanton,4212,1,G,690,S,,0.0,True
7498_02,Mars,True,TRAPPIST-1e,5.0,False,0.0,0.0,0.0,0.0,0.0,Cola,7498,2,F,1550,P,0.0,0.0,True
7446_01,Earth,False,TRAPPIST-1e,18.0,False,960.0,672.0,0.0,0.0,168.0,Hopez,7446,1,G,1204,P,1800.0,1800.0,False
5985_01,Earth,False,TRAPPIST-1e,24.0,False,276.0,0.0,0.0,0.0,489.0,Wooterston,5985,1,F,1234,P,765.0,765.0,True
8638_01,Earth,True,TRAPPIST-1e,22.0,False,0.0,0.0,0.0,0.0,0.0,Holliams,8638,1,G,1402,P,0.0,0.0,False
1827_01,Earth,False,55 Cancri e,24.0,False,0.0,94.0,1.0,56.0,427.0,Norrison,1827,1,F,352,S,578.0,578.0,False
6285_01,Europa,,55 Cancri e,64.0,False,0.0,0.0,0.0,0.0,0.0,Whealeed,6285,1,B,245,S,0.0,0.0,True
0071_01,Earth,False,TRAPPIST-1e,17.0,False,16.0,2165.0,0.0,0.0,52.0,Dillines,71,1,F,14,P,2233.0,2233.0,False
7809_01,Mars,True,TRAPPIST-1e,26.0,False,0.0,0.0,,0.0,0.0,Sty,7809,1,F,1493,S,,0.0,True
7188_01,Europa,False,TRAPPIST-1e,2.0,False,0.0,0.0,0.0,0.0,0.0,Imingle,7188,1,C,233,P,0.0,0.0,True
8522_01,Earth,False,TRAPPIST-1e,27.0,False,3.0,,10.0,4.0,855.0,Quinnerettt,8522,1,F,1751,P,,872.0,True
7712_01,Europa,False,TRAPPIST-1e,25.0,True,1.0,4298.0,0.0,0.0,2.0,Gealter,7712,1,A,93,S,4301.0,4301.0,True
6549_01,Mars,False,TRAPPIST-1e,31.0,False,1979.0,0.0,2.0,112.0,0.0,Flate,6549,1,F,1251,S,2093.0,2093.0,False
9057_02,Europa,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Statch,9057,2,B,296,P,0.0,0.0,True
4407_01,Earth,True,TRAPPIST-1e,55.0,False,0.0,0.0,0.0,0.0,0.0,Mejiarkerox,4407,1,G,719,S,0.0,0.0,True
0078_01,Europa,False,TRAPPIST-1e,38.0,False,0.0,5840.0,0.0,321.0,9654.0,Pokerheed,78,1,C,4,S,15815.0,15815.0,False
5016_01,Mars,False,TRAPPIST-1e,18.0,False,1092.0,31.0,309.0,0.0,0.0,Bert,5016,1,F,1023,P,1432.0,1432.0,False
5404_01,Earth,False,TRAPPIST-1e,38.0,False,766.0,38.0,0.0,0.0,0.0,Gentledges,5404,1,F,1111,P,804.0,804.0,False
0551_01,Earth,False,TRAPPIST-1e,42.0,False,126.0,0.0,266.0,445.0,12.0,Bradlerson,551,1,G,80,S,849.0,849.0,False
1451_02,Europa,True,TRAPPIST-1e,39.0,False,0.0,0.0,0.0,0.0,0.0,Proorbeng,1451,2,C,56,S,0.0,0.0,True
3026_01,Earth,True,TRAPPIST-1e,22.0,False,0.0,0.0,0.0,0.0,0.0,Gambs,3026,1,G,492,P,0.0,0.0,False
0481_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Peckerson,481,1,G,70,S,0.0,0.0,True
6650_01,Earth,False,TRAPPIST-1e,48.0,False,12.0,0.0,0.0,0.0,796.0,Beasleyes,6650,1,G,1077,P,808.0,808.0,False
2549_03,Mars,False,TRAPPIST-1e,55.0,False,1281.0,0.0,7.0,1.0,0.0,Prin,2549,3,F,522,P,1289.0,1289.0,False
7970_01,Europa,False,55 Cancri e,18.0,False,0.0,3492.0,0.0,506.0,8.0,Wassird,7970,1,C,258,P,4006.0,4006.0,True
3149_02,Earth,True,TRAPPIST-1e,18.0,False,0.0,0.0,0.0,0.0,0.0,Portananney,3149,2,G,494,S,0.0,0.0,True
1823_01,,False,TRAPPIST-1e,67.0,False,143.0,68.0,496.0,182.0,9.0,Byerson,1823,1,,,,898.0,898.0,True
7342_01,Earth,False,TRAPPIST-1e,50.0,False,0.0,185.0,0.0,1.0,558.0,Haynard,7342,1,G,1178,P,744.0,744.0,True
8574_01,Mars,True,TRAPPIST-1e,40.0,False,0.0,0.0,0.0,0.0,0.0,Welte,8574,1,F,1653,S,0.0,0.0,True
5027_01,Earth,False,55 Cancri e,41.0,False,4.0,737.0,0.0,51.0,0.0,Kiddley,5027,1,E,321,S,792.0,792.0,False
7922_01,Earth,False,TRAPPIST-1e,39.0,False,3030.0,79.0,0.0,0.0,0.0,Llobsoney,7922,1,F,1517,S,3109.0,3109.0,False
5863_02,Earth,False,TRAPPIST-1e,17.0,False,0.0,566.0,18.0,318.0,0.0,Loverthyo,5863,2,F,1210,P,902.0,902.0,False
4204_02,Earth,False,TRAPPIST-1e,7.0,False,0.0,0.0,0.0,0.0,0.0,Avisnydes,4204,2,G,691,P,0.0,0.0,False
4257_01,Earth,False,TRAPPIST-1e,19.0,False,0.0,265.0,882.0,2.0,293.0,Serraynardy,4257,1,F,881,P,1442.0,1442.0,False
8577_01,Mars,True,TRAPPIST-1e,56.0,False,0.0,0.0,0.0,0.0,0.0,Kill,8577,1,F,1654,S,0.0,0.0,True
3284_02,Earth,True,PSO J318.5-22,29.0,False,0.0,0.0,0.0,0.0,0.0,Holsen,3284,2,G,535,P,0.0,0.0,True
0138_01,Earth,True,TRAPPIST-1e,13.0,False,0.0,0.0,0.0,0.0,0.0,Gambs,138,1,G,18,P,0.0,0.0,True
5274_01,Earth,False,TRAPPIST-1e,25.0,False,662.0,34.0,0.0,79.0,148.0,Hineyley,5274,1,F,1078,P,923.0,923.0,False
