PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,First_name,Surname,deck,num,side,Age Interval,expenses,Transported
8189_01,Europa,False,TRAPPIST-1e,35.0,False,0.0,747.0,0.0,0.0,2478.0,Arrak Fanchy,Arrak,Fanchy,C,271,P,30-36,3225.0,False
7202_01,Earth,False,TRAPPIST-1e,37.0,False,541.0,38.0,713.0,316.0,0.0,Idave Burksson,Idave,Burksson,E,462,P,36-42,1608.0,False
3817_01,Mars,False,TRAPPIST-1e,20.0,False,984.0,1.0,921.0,0.0,67.07738095238095,Poselk Reste,Poselk,Reste,E,226,P,18-24,1973.077380952381,False
1655_01,Earth,False,TRAPPIST-1e,28.0,False,3202.0,228.06932773109244,0.0,0.0,5.0,Karay Dicksons,Karay,Dicksons,,,,24-30,3435.0693277310925,False
4677_01,Europa,False,55 Cancri e,30.0,False,0.0,4066.0,0.0,544.0,1272.0,Skatzn Obeaded,Skatzn,Obeaded,C,150,P,30-36,5882.0,False
5254_04,Europa,False,55 Cancri e,8.0,False,0.0,0.0,0.0,0.0,0.0,Sceleon Pressive,Sceleon,Pressive,B,202,S,6-12,0.0,True
0337_02,Mars,False,TRAPPIST-1e,19.0,False,417.0,349.0,634.0,3.0,1057.0,Weros Perle,Weros,Perle,F,63,S,18-24,2460.0,True
1581_02,Mars,True,TRAPPIST-1e,28.0,False,0.0,0.0,0.0,0.0,0.0,Prabon Che,Prabon,Che,,,,24-30,0.0,True
5813_01,Earth,True,TRAPPIST-1e,41.0,False,0.0,0.0,0.0,0.0,0.0,Coreee Hortis,Coreee,Hortis,G,936,P,36-42,0.0,True
4000_01,Earth,True,TRAPPIST-1e,27.0,False,0.0,0.0,0.0,0.0,0.0,Hanry Burraymons,Hanry,Burraymons,G,658,S,24-30,0.0,True
6921_01,Europa,False,TRAPPIST-1e,22.0,False,0.0,1914.0,2090.0,100.0,0.0,Sadrix Stersetery,Sadrix,Stersetery,C,255,S,18-24,4104.0,True
